date,RH2M,T2M,PRECTOT
2023-01-01,21.17,59.72,0.0
2023-01-02,21.83,59.13,0.0
2023-01-03,21.24,61.81,0.0
2023-01-04,21.53,62.74,0.0
2023-01-05,21.68,70.63,0.0
2023-01-06,22.64,75.2,0.0
2023-01-07,23.73,75.52,0.0
2023-01-08,24.37,71.05,0.0
2023-01-09,23.38,68.59,0.0
2023-01-10,23.02,72.38,0.0
2023-01-11,23.91,73.67,0.01
2023-01-12,22.84,71.27,0.01
2023-01-13,23.0,68.46,0.0
2023-01-14,22.8,72.46,0.0
2023-01-15,23.94,71.99,0.0
2023-01-16,24.34,67.64,0.0
2023-01-17,23.53,69.86,0.0
2023-01-18,23.42,72.5,0.0
2023-01-19,23.26,78.88,0.0
2023-01-20,23.67,82.53,0.0
2023-01-21,25.26,80.25,0.07
2023-01-22,25.73,81.91,0.26
2023-01-23,25.91,83.78,0.52
2023-01-24,25.76,83.26,0.45
2023-01-25,24.59,88.55,0.34
2023-01-26,25.49,84.62,0.79
2023-01-27,25.48,82.13,0.97
2023-01-28,25.62,80.38,0.46
2023-01-29,25.14,82.41,0.86
2023-01-30,25.73,78.25,0.12
2023-01-31,25.35,78.08,1.6
2023-02-01,25.64,75.67,0.29
2023-02-02,25.27,82.33,0.92
2023-02-03,26.01,79.04,0.8
2023-02-04,25.63,80.34,3.2
2023-02-05,24.24,88.72,3.35
2023-02-06,24.87,79.15,0.06
2023-02-07,25.11,85.34,0.82
2023-02-08,26.24,81.7,0.65
2023-02-09,26.45,81.23,0.46
2023-02-10,26.94,78.6,0.45
2023-02-11,27.38,76.12,0.3
2023-02-12,26.74,80.35,1.19
2023-02-13,27.0,79.21,0.88
2023-02-14,26.85,77.86,0.59
2023-02-15,26.5,74.81,0.61
2023-02-16,26.23,73.68,0.24
2023-02-17,26.53,61.9,0.02
2023-02-18,25.2,61.42,0.02
2023-02-19,24.69,65.61,0.0
2023-02-20,25.45,69.29,0.03
2023-02-21,25.31,63.9,0.02
2023-02-22,25.33,77.43,0.36
2023-02-23,26.33,82.34,1.21
2023-02-24,26.34,82.88,2.43
2023-02-25,25.36,86.5,1.47
2023-02-26,25.38,85.91,1.17
2023-02-27,26.5,79.11,1.1
2023-02-28,25.73,85.52,2.55
2023-03-01,25.34,84.54,4.2
2023-03-02,26.31,79.76,10.97
2023-03-03,26.82,82.24,9.61
2023-03-04,26.38,83.36,16.99
2023-03-05,26.54,83.98,9.95
2023-03-06,26.53,83.11,8.89
2023-03-07,25.65,88.76,2.75
2023-03-08,26.31,82.32,1.03
2023-03-09,26.67,81.55,1.74
2023-03-10,26.53,83.43,3.41
2023-03-11,25.99,87.8,4.77
2023-03-12,25.58,82.25,1.01
2023-03-13,26.34,76.87,0.24
2023-03-14,26.52,79.71,1.62
2023-03-15,26.53,81.56,2.26
2023-03-16,26.76,79.3,1.59
2023-03-17,25.73,85.57,8.54
2023-03-18,25.03,86.28,4.33
2023-03-19,25.38,84.08,6.18
2023-03-20,25.9,83.15,2.6
2023-03-21,26.5,82.1,8.1
2023-03-22,25.81,86.3,20.31
2023-03-23,25.41,87.62,20.96
2023-03-24,24.4,93.45,15.85
2023-03-25,25.92,85.18,8.65
2023-03-26,26.18,83.89,3.87
2023-03-27,26.35,84.41,6.14
2023-03-28,25.83,86.36,2.38
2023-03-29,26.03,86.33,2.4
2023-03-30,26.52,84.4,5.25
2023-03-31,26.57,81.27,2.02
2023-04-01,25.88,85.55,0.54
2023-04-02,26.58,82.95,0.92
2023-04-03,26.53,82.43,1.57
2023-04-04,26.61,82.71,0.83
2023-04-05,26.52,81.63,0.4
2023-04-06,26.79,79.92,0.4
2023-04-07,26.7,82.35,1.33
2023-04-08,26.71,83.21,1.12
2023-04-09,25.99,88.01,2.13
2023-04-10,26.65,80.43,0.57
2023-04-11,27.13,78.78,1.58
2023-04-12,26.98,80.61,1.1
2023-04-13,26.93,80.48,2.11
2023-04-14,26.49,84.25,1.9
2023-04-15,26.36,87.6,3.42
2023-04-16,26.84,84.72,5.37
2023-04-17,26.61,84.38,9.75
2023-04-18,26.47,86.13,9.96
2023-04-19,26.59,86.83,11.73
2023-04-20,25.86,88.12,6.63
2023-04-21,26.15,84.82,1.3
2023-04-22,26.55,86.49,2.58
2023-04-23,26.88,85.96,3.67
2023-04-24,26.52,88.91,8.78
2023-04-25,26.85,82.5,1.77
2023-04-26,25.23,91.21,9.39
2023-04-27,25.86,82.3,1.56
2023-04-28,25.55,89.54,3.13
2023-04-29,26.35,84.59,1.42
2023-04-30,26.27,85.51,3.63
2023-05-01,25.99,84.52,1.45
2023-05-02,26.28,82.95,0.22
